window_start,week,mtf7w2,mwwcn6,lms8m4,dsdxd8,wgocn,jdf5g4,dtqb7d,habc8,ngtp8b,kedgm9,kab5zb,jfk535,mmvd,hnldm2,jdk88,ajdqnf,nm8c7,jmd5h8,anfz9,oro26b,kdcn,krh5f5,tah5z2,jlkm94,nhm2p3,tlgdq9,lpnb79,tjdpzd,wahbf,jrrgxf,zws2p8,ajb9b3,elnfh,pt7td,hmnhx4,mdvw5,jahq76,tcdzb7,jac345,mmg9n6,tkbn4,hemmb2,dlokv6,bay6g7,jlgwx,pecxc9,rrg3md,mjpg95,njd5zf,jhgn9,jkn7f,kah89f,amsh7,bpc42
1360355400,Week1,0.001,0.001,19045.090911620835,0.001,0.001,16421.875,0.001,0.001,0.001,0.001,32.608695652173914,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3787.2420645901957,22677.021512560987,9578.449094564332,0.001,0.001,0.001,8416.662578492937,0.001,2500.5510610061756,0.001,55.99078785075546,0.001,0.001,0.001,0.001,0.001,0.001,91019.82619967494,0.001,44.118226626870694,0.001,1484.375,0.001,0.001,0.001,0.001,2126.928614290414,2408.936403508772,0.001,70420.00697558981,0.001,3453.1994047619046,13054.814773652068,3002.118553620219
1360355700,Week1,0.001,0.001,6415.957860365409,0.001,0.001,3506.9604533114507,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43166.66666666666,0.001,0.001,0.001,1740.0985560571655,12965.203329178948,11894.29996344852,0.001,0.001,0.001,6075.063344594595,0.001,32673.60105585502,755.7614306784661,0.001,0.001,0.001,0.001,0.001,32.608695652173914,0.001,88903.4470784076,0.001,144.8554841897233,0.001,761.4511790293042,0.001,0.001,0.001,0.001,36873.44290999191,66.82180851063829,0.001,64343.94263445627,31.914893617021274,2380.878419916354,6530.102566336545,12338.393272670617
1360356000,Week1,0.001,43.47826086956522,2789.500370150703,0.001,72.265625,23.563922918879587,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18475.963634447544,10202.82221387129,0.001,0.001,0.001,4287.286931818182,52181.90161791227,2191.5779532967035,11.488970588235295,66.11842105263158,32.608695652173914,0.001,0.001,0.001,0.001,0.001,7125.0,0.001,0.001,0.001,815.0872564935065,0.001,0.001,0.001,0.001,2799.422447742879,0.001,0.001,0.001,0.001,0.001,19184.934011378686,3137.409972316888
1360356300,Week1,0.001,0.001,5225.965634152716,0.001,0.001,2936.6663559180006,0.001,0.001,0.001,33.333333333333336,0.001,0.001,0.001,0.001,0.001,0.001,22338.54166666667,0.001,0.001,0.001,0.001,24799.798614773925,7401.392603906556,160.86998456790127,0.001,0.001,3136.068548387097,633.0863596774982,969.0624345754192,0.001,66.85855263157895,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1061.5211397058824,0.001,0.001,0.001,0.001,22681.895098898447,0.001,0.001,49690.9955325048,0.001,0.001,13231.338586928521,3360.3807471264367
1360356600,Week1,0.001,0.001,12931.04436028285,0.001,69.31515957446808,593.8831647076329,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32819.163229003614,10299.882285068841,0.001,0.001,0.001,0.001,178.50378787878788,1421.4667309457168,0.001,40.135294035964804,0.001,0.001,0.001,0.001,0.001,0.001,7125.0,0.001,0.001,0.001,511.7815119277886,0.001,0.001,0.001,0.001,1796.0773518800452,53.85545665634675,0.001,0.001,0.001,0.001,13891.899587565658,6403.338068181818
1360356900,Week1,0.001,0.001,7043.675751805831,0.001,70.0657894736842,1207.6078560076392,0.001,0.001,0.001,0.001,4370.845204178537,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4618.318479578502,29418.07574970362,0.001,0.001,0.001,0.001,0.001,1228.665576032381,0.001,0.001,0.001,32.608695652173914,0.001,0.001,0.001,0.001,4750.0,0.001,0.001,0.001,473.02865356858973,0.001,0.001,0.001,0.001,3156.309282540687,0.001,0.001,31.914893617021274,0.001,0.001,11767.402696345556,4994.706897605083
1360357200,Week1,0.001,0.001,11000.241171419279,0.001,0.001,9.492392507960334,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,52.91884713266585,35983.06581513799,0.001,0.001,0.001,119.47115384615385,0.001,2100.9287234019234,0.001,66.91104423292273,0.001,0.001,0.001,0.001,34.762372802960215,0.001,7125.0,0.001,0.001,0.001,911.2671957671957,0.001,0.001,7999.205024552238,0.001,13664.230904420161,68.31781914893618,0.001,116345.11794176183,0.001,0.001,370.4816794023437,6104.428196225072
1360357500,Week1,0.001,0.001,20359.914937369602,0.001,0.001,2218.9472392950784,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,278.2372572268421,9308.389375516967,0.001,0.001,0.001,20.15398550724637,0.001,8872.42073020362,33.333333333333336,0.001,11.625744047619047,0.001,0.001,0.001,0.001,0.001,3754.464285714286,0.001,0.001,0.001,952.8860601795495,0.001,0.001,23301.13353996412,0.001,5130.904436078408,66.82180851063829,0.001,6101.5625,5465.026498538012,0.001,13236.73219006478,4136.185384793875
1360357800,Week1,0.001,0.001,16816.35646409167,0.001,0.001,204.73650262795022,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8662.098831815116,0.001,0.001,0.001,0.001,0.001,1410.9665212363498,0.001,67.32047872340425,0.001,0.001,0.001,0.001,89.71774193548387,0.001,3562.5,0.001,0.001,0.001,962.5126008064516,0.001,0.001,5846.415573173055,0.001,1212.3811763389667,0.001,0.001,16.07142857142857,10.421521412666355,36.111111111111114,13566.980778200867,3684.141710069444
1360358100,Week1,0.001,0.001,6410.243952062896,0.001,0.001,259.47917257091046,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5090.476370851371,0.001,8552.904308041263,0.001,0.001,0.001,0.001,0.001,142.73213485663084,0.001,0.001,0.001,0.001,0.001,0.001,65.91796875,0.001,7125.0,0.001,0.001,0.001,816.04164920076,0.001,0.001,5624.280309136813,0.001,19952.332106921163,68.31781914893618,0.001,5865.292129417,0.001,31.742744302772234,5326.209309185492,4788.033349364365
